/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=1 loss=4.067220 time=3.218592 fft=1.000117
step=100 loss=1.710713 time=1.352611 fft=0.422027
step=200 loss=1.086456 time=0.857829 fft=0.269439
step=300 loss=0.776699 time=0.613375 fft=0.192479
step=400 loss=0.541439 time=0.427488 fft=0.134293
step=500 loss=0.399442 time=0.315155 fft=0.099334
step=600 loss=0.291410 time=0.230279 fft=0.072044
step=700 loss=0.214853 time=0.169881 fft=0.053001
step=800 loss=0.160151 time=0.127005 fft=0.039063
step=900 loss=0.125416 time=0.100377 fft=0.029509
step=1000 loss=0.079103 time=0.063877 fft=0.017943
step=1000 val_loss=0.062106
step=1100 loss=0.066275 time=0.054457 fft=0.013928
step=1200 loss=0.061107 time=0.050642 fft=0.012333
step=1300 loss=0.058037 time=0.048398 fft=0.011359
step=1400 loss=0.048262 time=0.040286 fft=0.009400
step=1500 loss=0.047420 time=0.039273 fft=0.009601
step=1600 loss=0.049639 time=0.041605 fft=0.009468
step=1700 loss=0.050892 time=0.042572 fft=0.009804
step=1800 loss=0.053418 time=0.044570 fft=0.010427
step=1900 loss=0.052922 time=0.044275 fft=0.010190
step=2000 loss=0.045991 time=0.038652 fft=0.008650
step=2000 val_loss=0.044855
step=2100 loss=0.053035 time=0.044421 fft=0.010151
step=2200 loss=0.050123 time=0.042017 fft=0.009553
step=2300 loss=0.053667 time=0.044844 fft=0.010398
step=2400 loss=0.049775 time=0.041643 fft=0.009583
step=2500 loss=0.046970 time=0.038988 fft=0.009407
step=2600 loss=0.048400 time=0.040208 fft=0.009655
step=2700 loss=0.046491 time=0.038637 fft=0.009256
step=2800 loss=0.042549 time=0.035348 fft=0.008486
step=2900 loss=0.044273 time=0.036877 fft=0.008716
step=3000 loss=0.048054 time=0.040030 fft=0.009456
step=3000 val_loss=0.040987
step=3100 loss=0.048633 time=0.040710 fft=0.009337
step=3200 loss=0.040468 time=0.033580 fft=0.008118
step=3300 loss=0.042022 time=0.035065 fft=0.008199
step=3400 loss=0.040602 time=0.033793 fft=0.008024
step=3500 loss=0.040351 time=0.033458 fft=0.008124
step=3600 loss=0.048073 time=0.040085 fft=0.009413
step=3700 loss=0.042402 time=0.035436 fft=0.008210
step=3800 loss=0.043432 time=0.036135 fft=0.008599
step=3900 loss=0.039363 time=0.032839 fft=0.007689
step=4000 loss=0.044935 time=0.037444 fft=0.008828
step=4000 val_loss=0.039158
step=4100 loss=0.044972 time=0.037500 fft=0.008806
step=4200 loss=0.042332 time=0.035314 fft=0.008271
step=4300 loss=0.042535 time=0.035368 fft=0.008446
step=4400 loss=0.044752 time=0.037092 fft=0.009027
step=4500 loss=0.038937 time=0.032201 fft=0.007940
step=4600 loss=0.044758 time=0.037236 fft=0.008865
step=4700 loss=0.038776 time=0.032230 fft=0.007714
step=4800 loss=0.041530 time=0.034507 fft=0.008277
step=4900 loss=0.043466 time=0.036154 fft=0.008617
step=5000 loss=0.040261 time=0.033352 fft=0.008143
step=5000 val_loss=0.039063
step=5100 loss=0.042883 time=0.035480 fft=0.008725
step=5200 loss=0.039818 time=0.033027 fft=0.008004
step=5300 loss=0.040126 time=0.033282 fft=0.008065
step=5400 loss=0.044806 time=0.037220 fft=0.008939
step=5500 loss=0.044849 time=0.037175 fft=0.009044
step=5600 loss=0.042503 time=0.035620 fft=0.008112
step=5700 loss=0.043031 time=0.035731 fft=0.008604
step=5800 loss=0.036682 time=0.030505 fft=0.007279
step=5900 loss=0.041016 time=0.034200 fft=0.008033
step=6000 loss=0.041709 time=0.034632 fft=0.008341
step=6000 val_loss=0.037832
step=6100 loss=0.036591 time=0.030137 fft=0.007606
step=6200 loss=0.042447 time=0.035197 fft=0.008544
step=6300 loss=0.045090 time=0.037450 fft=0.009004
step=6400 loss=0.040774 time=0.033670 fft=0.008372
step=6500 loss=0.038780 time=0.032065 fft=0.007914
step=6600 loss=0.047080 time=0.038910 fft=0.009628
step=6700 loss=0.039991 time=0.033201 fft=0.008002
step=6800 loss=0.038611 time=0.032036 fft=0.007748
step=6900 loss=0.041846 time=0.034645 fft=0.008486
step=7000 loss=0.041315 time=0.034258 fft=0.008317
step=7000 val_loss=0.036811
step=7100 loss=0.040663 time=0.033793 fft=0.008097
step=7200 loss=0.041185 time=0.034038 fft=0.008423
step=7300 loss=0.040487 time=0.033645 fft=0.008064
step=7400 loss=0.042583 time=0.035601 fft=0.008228
step=7500 loss=0.039557 time=0.032681 fft=0.008103
step=7600 loss=0.038323 time=0.031853 fft=0.007625
step=7700 loss=0.041896 time=0.034559 fft=0.008647
step=7800 loss=0.037757 time=0.031291 fft=0.007620
step=7900 loss=0.040862 time=0.033828 fft=0.008290
step=8000 loss=0.035750 time=0.029696 fft=0.007135
step=8000 val_loss=0.036981
step=8100 loss=0.041572 time=0.034545 fft=0.008281
step=8200 loss=0.036125 time=0.029886 fft=0.007353
step=8300 loss=0.039652 time=0.032938 fft=0.007913
step=8400 loss=0.036757 time=0.030418 fft=0.007471
step=8500 loss=0.042190 time=0.034857 fft=0.008642
step=8600 loss=0.043689 time=0.036200 fft=0.008827
step=8700 loss=0.038732 time=0.031988 fft=0.007948
step=8800 loss=0.040685 time=0.033618 fft=0.008329
step=8900 loss=0.036226 time=0.030068 fft=0.007257
step=9000 loss=0.039496 time=0.032656 fft=0.008061
step=9000 val_loss=0.036735
step=9100 loss=0.040000 time=0.033020 fft=0.008225
step=9200 loss=0.037440 time=0.031033 fft=0.007551
step=9300 loss=0.038466 time=0.032103 fft=0.007499
step=9400 loss=0.045204 time=0.037444 fft=0.009146
step=9500 loss=0.040647 time=0.033790 fft=0.008082
step=9600 loss=0.040045 time=0.033018 fft=0.008281
