/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=1 loss=4.220816 time=3.338213 fft=1.040157
step=20 loss=3.244271 time=2.560960 fft=0.805289
step=40 loss=2.915475 time=2.301423 fft=0.723667
step=60 loss=2.282637 time=1.800449 fft=0.568264
step=80 loss=2.188534 time=1.727990 fft=0.542757
step=100 loss=1.828963 time=1.442838 fft=0.455052
step=120 loss=1.794518 time=1.415937 fft=0.446162
step=140 loss=1.613576 time=1.273614 fft=0.400649
step=160 loss=1.458682 time=1.151206 fft=0.362364
step=180 loss=1.380735 time=1.088956 fft=0.343864
step=200 loss=1.146159 time=0.904537 fft=0.284754
step=220 loss=1.214590 time=0.958158 fft=0.302208
step=240 loss=1.042814 time=0.823566 fft=0.258386
step=260 loss=0.954208 time=0.752978 fft=0.237153
step=280 loss=0.995084 time=0.785061 fft=0.247515
step=300 loss=0.829173 time=0.653685 fft=0.206815
step=320 loss=0.750834 time=0.592438 fft=0.186672
step=340 loss=0.736502 time=0.581207 fft=0.183017
step=360 loss=0.652982 time=0.515051 fft=0.162553
step=380 loss=0.623145 time=0.491293 fft=0.155390
step=400 loss=0.584983 time=0.461700 fft=0.145290
step=420 loss=0.575979 time=0.454332 fft=0.143363
step=440 loss=0.492829 time=0.389158 fft=0.122177
step=460 loss=0.498603 time=0.393432 fft=0.123945
step=480 loss=0.464727 time=0.367175 fft=0.114966
step=500 loss=0.453773 time=0.358809 fft=0.111916
step=500 val_loss=0.321814
step=520 loss=0.432110 time=0.342096 fft=0.106082
step=540 loss=0.406194 time=0.321197 fft=0.100170
step=560 loss=0.369562 time=0.292550 fft=0.090760
step=580 loss=0.378768 time=0.300177 fft=0.092620
step=600 loss=0.323516 time=0.256315 fft=0.079197
step=620 loss=0.332226 time=0.263392 fft=0.081121
step=640 loss=0.323698 time=0.256794 fft=0.078848
step=660 loss=0.296514 time=0.235735 fft=0.071629
step=680 loss=0.282501 time=0.224415 fft=0.068455
step=700 loss=0.251020 time=0.199934 fft=0.060205
step=720 loss=0.256581 time=0.204409 fft=0.061485
step=740 loss=0.258010 time=0.206217 fft=0.061038
step=760 loss=0.216277 time=0.172570 fft=0.051510
step=780 loss=0.225768 time=0.180909 fft=0.052867
step=800 loss=0.219032 time=0.175187 fft=0.051672
step=820 loss=0.193528 time=0.155196 fft=0.045175
step=840 loss=0.194582 time=0.156836 fft=0.044485
step=860 loss=0.171033 time=0.137638 fft=0.039356
step=880 loss=0.170950 time=0.138328 fft=0.038445
step=900 loss=0.157905 time=0.128279 fft=0.034914
step=920 loss=0.174725 time=0.141898 fft=0.038687
step=940 loss=0.174732 time=0.142454 fft=0.038040
step=960 loss=0.147491 time=0.120076 fft=0.032308
step=980 loss=0.143491 time=0.117265 fft=0.030907
step=1000 loss=0.143015 time=0.116893 fft=0.030785
step=1000 val_loss=0.131017
step=1020 loss=0.148870 time=0.122499 fft=0.031078
step=1040 loss=0.141644 time=0.116669 fft=0.029433
step=1060 loss=0.123203 time=0.102031 fft=0.024952
step=1080 loss=0.123482 time=0.102500 fft=0.024728
step=1100 loss=0.132977 time=0.110437 fft=0.026563
step=1120 loss=0.132328 time=0.110332 fft=0.025922
step=1140 loss=0.115415 time=0.096515 fft=0.022273
step=1160 loss=0.116794 time=0.097848 fft=0.022329
step=1180 loss=0.116568 time=0.097327 fft=0.022676
step=1200 loss=0.114300 time=0.095585 fft=0.022056
step=1220 loss=0.103541 time=0.086569 fft=0.020002
step=1240 loss=0.106782 time=0.089528 fft=0.020333
step=1260 loss=0.120609 time=0.101097 fft=0.022995
step=1280 loss=0.107238 time=0.089948 fft=0.020377
step=1300 loss=0.118361 time=0.099499 fft=0.022229
step=1320 loss=0.104847 time=0.088340 fft=0.019454
step=1340 loss=0.118329 time=0.099681 fft=0.021976
step=1360 loss=0.116830 time=0.098336 fft=0.021795
step=1380 loss=0.116538 time=0.098441 fft=0.021327
step=1400 loss=0.101579 time=0.085537 fft=0.018907
step=1420 loss=0.106929 time=0.089924 fft=0.020041
step=1440 loss=0.111789 time=0.093909 fft=0.021072
step=1460 loss=0.103010 time=0.086641 fft=0.019291
step=1480 loss=0.111203 time=0.093588 fft=0.020759
step=1500 loss=0.112912 time=0.095248 fft=0.020817
step=1500 val_loss=0.101687
